"time","well","OD600","G","R","column","dilution","species","condition"
2.00000166666667,"C8",0.2697,4691,17513,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"C9",0.2272,4727,15908,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"C10",0.231,4779,15972,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"C11",0.2328,4785,16100,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"C12",0.228,4773,16092,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"D1",0.2607,5139,16158,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"D2",0.2458,4779,16028,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"D3",0.2494,4794,16108,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"D4",0.3031,4739,15927,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"D5",0.2343,4839,16135,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"D6",0.2341,4858,16215,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"D7",0.3392,4153,14313,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"D8",0.2713,4765,17311,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"D9",0.2266,4754,15946,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"D10",0.2268,4799,16080,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"D11",0.225,4790,15871,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"D12",0.2268,4756,15924,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"E1",0.2668,5168,15957,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"E2",0.2361,4828,15963,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"E3",0.2467,4761,15974,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"E4",0.2415,4826,16144,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"E5",0.2608,4589,15564,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"E6",0.2335,4824,16237,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"E7",0.2354,4803,16251,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"E8",0.2975,4562,16618,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"E9",0.3724,4084,14067,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"E10",0.4854,3462,11951,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"E11",0.2414,4744,15779,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"E12",0.2275,4745,16117,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"F1",0.2865,4970,15596,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"F2",0.2459,4801,16083,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"F3",0.2436,4837,16223,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"F4",0.2567,4775,16049,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"F5",0.2453,4820,16000,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"F6",0.2317,4782,15913,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"F7",0.2395,4796,15929,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"F8",0.2862,4736,17410,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"F9",0.2433,4653,15780,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"F10",0.402,3840,13123,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"F11",0.5561,3271,11325,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"F12",0.23,4779,15957,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"G1",0.2573,5111,16221,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"G2",0.2323,4775,16083,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"G3",0.2284,4788,16198,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"G4",0.2259,4777,16056,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"G5",0.2318,4801,16264,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"G6",0.2253,4704,16081,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"G7",0.2269,4703,15881,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"G8",0.2841,4702,17143,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"G9",0.2295,4691,16211,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"G10",0.2281,4718,16146,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"G11",0.2236,4745,16073,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"G12",0.2252,4709,16094,12,"10^-7","Bs","Bs 10^-7"
2.00000166666667,"H1",0.253,5020,16125,1,"10^-1","Pp","Pp 10^-1"
2.00000166666667,"H2",0.2257,4852,16142,2,"10^-2","Pp","Pp 10^-2"
2.00000166666667,"H3",0.2234,4782,16021,3,"10^-3","Pp","Pp 10^-3"
2.00000166666667,"H4",0.2243,4766,16042,4,"10^-4","Pp","Pp 10^-4"
2.00000166666667,"H5",0.2225,4713,15868,5,"10^-5","Pp","Pp 10^-5"
2.00000166666667,"H6",0.2277,4745,15980,6,"10^-6","Pp","Pp 10^-6"
2.00000166666667,"H7",0.23,4770,16166,7,"10^-2","Bs","Bs 10^-2"
2.00000166666667,"H8",0.2737,4698,16881,8,"10^-3","Bs","Bs 10^-3"
2.00000166666667,"H9",0.228,4702,16016,9,"10^-4","Bs","Bs 10^-4"
2.00000166666667,"H10",0.2234,4651,15873,10,"10^-5","Bs","Bs 10^-5"
2.00000166666667,"H11",0.2246,4683,15917,11,"10^-6","Bs","Bs 10^-6"
2.00000166666667,"H12",0.2252,4724,15955,12,"10^-7","Bs","Bs 10^-7"
3.00000555555556,"A1",0.2831,5224,15995,1,"10^-1","Pp","Pp 10^-1"
3.00000555555556,"A2",0.2234,4804,16278,2,"10^-2","Pp","Pp 10^-2"
3.00000555555556,"A3",0.2256,4913,16506,3,"10^-3","Pp","Pp 10^-3"
3.00000555555556,"A4",0.2253,4854,16421,4,"10^-4","Pp","Pp 10^-4"
3.00000555555556,"A5",0.2254,4884,16217,5,"10^-5","Pp","Pp 10^-5"
3.00000555555556,"A6",0.2214,4823,16085,6,"10^-6","Pp","Pp 10^-6"
3.00000555555556,"A7",0.2281,4834,16250,7,"10^-2","Bs","Bs 10^-2"
3.00000555555556,"A8",0.3093,4701,17870,8,"10^-3","Bs","Bs 10^-3"
3.00000555555556,"A9",0.2255,4783,16228,9,"10^-4","Bs","Bs 10^-4"
3.00000555555556,"A10",0.2266,4882,16237,10,"10^-5","Bs","Bs 10^-5"
3.00000555555556,"A11",0.225,4844,16456,11,"10^-6","Bs","Bs 10^-6"
3.00000555555556,"A12",0.2258,4882,16229,12,"10^-7","Bs","Bs 10^-7"
3.00000555555556,"B1",0.2872,5251,16328,1,"10^-1","Pp","Pp 10^-1"
3.00000555555556,"B2",0.2463,4940,16362,2,"10^-2","Pp","Pp 10^-2"
3.00000555555556,"B3",0.2451,4882,16389,3,"10^-3","Pp","Pp 10^-3"
3.00000555555556,"B4",0.2437,4855,16368,4,"10^-4","Pp","Pp 10^-4"
3.00000555555556,"B5",0.2412,4880,16337,5,"10^-5","Pp","Pp 10^-5"
3.00000555555556,"B6",0.2241,4863,16105,6,"10^-6","Pp","Pp 10^-6"
3.00000555555556,"B7",0.2353,4855,16504,7,"10^-2","Bs","Bs 10^-2"
3.00000555555556,"B8",0.3055,4760,18126,8,"10^-3","Bs","Bs 10^-3"
3.00000555555556,"B9",0.2302,4827,16394,9,"10^-4","Bs","Bs 10^-4"
3.00000555555556,"B10",0.2268,4856,16316,10,"10^-5","Bs","Bs 10^-5"
3.00000555555556,"B11",0.2277,4854,16386,11,"10^-6","Bs","Bs 10^-6"
3.00000555555556,"B12",0.2256,4866,16228,12,"10^-7","Bs","Bs 10^-7"
3.00000555555556,"C1",0.2963,5243,16243,1,"10^-1","Pp","Pp 10^-1"
3.00000555555556,"C2",0.2553,4902,16274,2,"10^-2","Pp","Pp 10^-2"
3.00000555555556,"C3",0.2536,4877,16467,3,"10^-3","Pp","Pp 10^-3"
3.00000555555556,"C4",0.2342,4912,16173,4,"10^-4","Pp","Pp 10^-4"
3.00000555555556,"C5",0.2391,4878,16442,5,"10^-5","Pp","Pp 10^-5"
3.00000555555556,"C6",0.2377,4871,16231,6,"10^-6","Pp","Pp 10^-6"
3.00000555555556,"C7",0.2344,4895,16416,7,"10^-2","Bs","Bs 10^-2"
3.00000555555556,"C8",0.3055,4750,18423,8,"10^-3","Bs","Bs 10^-3"
3.00000555555556,"C9",0.2272,4776,16339,9,"10^-4","Bs","Bs 10^-4"
3.00000555555556,"C10",0.2312,4896,16349,10,"10^-5","Bs","Bs 10^-5"
3.00000555555556,"C11",0.2323,4876,16322,11,"10^-6","Bs","Bs 10^-6"
3.00000555555556,"C12",0.2275,4844,16316,12,"10^-7","Bs","Bs 10^-7"
3.00000555555556,"D1",0.2954,5300,16247,1,"10^-1","Pp","Pp 10^-1"
3.00000555555556,"D2",0.2582,4913,16409,2,"10^-2","Pp","Pp 10^-2"
3.00000555555556,"D3",0.2623,4907,16469,3,"10^-3","Pp","Pp 10^-3"
3.00000555555556,"D4",0.3128,4826,16115,4,"10^-4","Pp","Pp 10^-4"
3.00000555555556,"D5",0.2385,4898,16485,5,"10^-5","Pp","Pp 10^-5"
3.00000555555556,"D6",0.2448,4876,16523,6,"10^-6","Pp","Pp 10^-6"
3.00000555555556,"D7",0.3402,4265,14490,7,"10^-2","Bs","Bs 10^-2"
3.00000555555556,"D8",0.3023,4769,18422,8,"10^-3","Bs","Bs 10^-3"
3.00000555555556,"D9",0.2265,4863,16313,9,"10^-4","Bs","Bs 10^-4"
3.00000555555556,"D10",0.2269,4865,16187,10,"10^-5","Bs","Bs 10^-5"
3.00000555555556,"D11",0.2247,4856,16347,11,"10^-6","Bs","Bs 10^-6"
