"well","datetime","condition","wavelength","value","time"
"D...13",2026-04-24 16:07:00,"Bs+Pp+NI","RFP85",3026,0
"E...13",2026-04-24 16:07:00,"Bs+Pp","RFP85",2967,0
"F...13",2026-04-24 16:07:00,"Pp+NI","RFP85",3065,0
"G...13",2026-04-24 16:07:00,"Pp","RFP85",3282,0
"H...13",2026-04-24 16:07:00,"M9","RFP85",2966,0
"A...2",2026-04-24 16:07:00,"Bs","RFP90",4338,0
"B...2",2026-04-24 16:07:00,"Bs+NI","RFP90",4458,0
"C...2",2026-04-24 16:07:00,"NI","RFP90",4300,0
"D...2",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4281,0
"E...2",2026-04-24 16:07:00,"Bs+Pp","RFP90",4326,0
"F...2",2026-04-24 16:07:00,"Pp+NI","RFP90",4294,0
"G...2",2026-04-24 16:07:00,"Pp","RFP90",4359,0
"H...2",2026-04-24 16:07:00,"M9","RFP90",4249,0
"A...3",2026-04-24 16:07:00,"Bs","RFP90",4453,0
"B...3",2026-04-24 16:07:00,"Bs+NI","RFP90",4412,0
"C...3",2026-04-24 16:07:00,"NI","RFP90",4385,0
"D...3",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4397,0
"E...3",2026-04-24 16:07:00,"Bs+Pp","RFP90",4361,0
"F...3",2026-04-24 16:07:00,"Pp+NI","RFP90",4412,0
"G...3",2026-04-24 16:07:00,"Pp","RFP90",4869,0
"H...3",2026-04-24 16:07:00,"M9","RFP90",4278,0
"A...4",2026-04-24 16:07:00,"Bs","RFP90",4380,0
"B...4",2026-04-24 16:07:00,"Bs+NI","RFP90",4373,0
"C...4",2026-04-24 16:07:00,"NI","RFP90",4398,0
"D...4",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4392,0
"E...4",2026-04-24 16:07:00,"Bs+Pp","RFP90",4449,0
"F...4",2026-04-24 16:07:00,"Pp+NI","RFP90",4374,0
"G...4",2026-04-24 16:07:00,"Pp","RFP90",4382,0
"H...4",2026-04-24 16:07:00,"M9","RFP90",4322,0
"A...5",2026-04-24 16:07:00,"Bs","RFP90",4402,0
"B...5",2026-04-24 16:07:00,"Bs+NI","RFP90",4408,0
"C...5",2026-04-24 16:07:00,"NI","RFP90",4466,0
"D...5",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4419,0
"E...5",2026-04-24 16:07:00,"Bs+Pp","RFP90",4439,0
"F...5",2026-04-24 16:07:00,"Pp+NI","RFP90",4367,0
"G...5",2026-04-24 16:07:00,"Pp","RFP90",4353,0
"H...5",2026-04-24 16:07:00,"M9","RFP90",4320,0
"A...6",2026-04-24 16:07:00,"Bs","RFP90",4501,0
"B...6",2026-04-24 16:07:00,"Bs+NI","RFP90",4503,0
"C...6",2026-04-24 16:07:00,"NI","RFP90",4462,0
"D...6",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4455,0
"E...6",2026-04-24 16:07:00,"Bs+Pp","RFP90",4443,0
"F...6",2026-04-24 16:07:00,"Pp+NI","RFP90",4424,0
"G...6",2026-04-24 16:07:00,"Pp","RFP90",4359,0
"H...6",2026-04-24 16:07:00,"M9","RFP90",4413,0
"A...7",2026-04-24 16:07:00,"Bs","RFP90",4410,0
"B...7",2026-04-24 16:07:00,"Bs+NI","RFP90",4450,0
"C...7",2026-04-24 16:07:00,"NI","RFP90",4463,0
"D...7",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4467,0
"E...7",2026-04-24 16:07:00,"Bs+Pp","RFP90",4455,0
"F...7",2026-04-24 16:07:00,"Pp+NI","RFP90",4538,0
"G...7",2026-04-24 16:07:00,"Pp","RFP90",4405,0
"H...7",2026-04-24 16:07:00,"M9","RFP90",4287,0
"A...8",2026-04-24 16:07:00,"Bs","RFP90",4851,0
"B...8",2026-04-24 16:07:00,"Bs+NI","RFP90",4633,0
"C...8",2026-04-24 16:07:00,"NI","RFP90",4541,0
"D...8",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",5399,0
"E...8",2026-04-24 16:07:00,"Bs+Pp","RFP90",4468,0
"F...8",2026-04-24 16:07:00,"Pp+NI","RFP90",4456,0
"G...8",2026-04-24 16:07:00,"Pp","RFP90",4669,0
"H...8",2026-04-24 16:07:00,"M9","RFP90",4416,0
"A...9",2026-04-24 16:07:00,"Bs","RFP90",4871,0
"B...9",2026-04-24 16:07:00,"Bs+NI","RFP90",4697,0
"C...9",2026-04-24 16:07:00,"NI","RFP90",4557,0
"D...9",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4559,0
"E...9",2026-04-24 16:07:00,"Bs+Pp","RFP90",4598,0
"F...9",2026-04-24 16:07:00,"Pp+NI","RFP90",4534,0
"G...9",2026-04-24 16:07:00,"Pp","RFP90",4526,0
"H...9",2026-04-24 16:07:00,"M9","RFP90",4465,0
"A...10",2026-04-24 16:07:00,"Bs","RFP90",7109,0
"B...10",2026-04-24 16:07:00,"Bs+NI","RFP90",5012,0
"C...10",2026-04-24 16:07:00,"NI","RFP90",4485,0
"D...10",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4828,0
"E...10",2026-04-24 16:07:00,"Bs+Pp","RFP90",4764,0
"F...10",2026-04-24 16:07:00,"Pp+NI","RFP90",4501,0
"G...10",2026-04-24 16:07:00,"Pp","RFP90",4791,0
"H...10",2026-04-24 16:07:00,"M9","RFP90",4438,0
"A...11",2026-04-24 16:07:00,"Bs","RFP90",16201,0
"B...11",2026-04-24 16:07:00,"Bs+NI","RFP90",22284,0
"C...11",2026-04-24 16:07:00,"NI","RFP90",11522,0
"D...11",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4518,0
"E...11",2026-04-24 16:07:00,"Bs+Pp","RFP90",4451,0
"F...11",2026-04-24 16:07:00,"Pp+NI","RFP90",4440,0
"G...11",2026-04-24 16:07:00,"Pp","RFP90",4588,0
"H...11",2026-04-24 16:07:00,"M9","RFP90",4451,0
"A...12",2026-04-24 16:07:00,"Bs","RFP90",8814,0
"B...12",2026-04-24 16:07:00,"Bs+NI","RFP90",9880,0
"C...12",2026-04-24 16:07:00,"NI","RFP90",6856,0
"D...12",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",5057,0
"E...12",2026-04-24 16:07:00,"Bs+Pp","RFP90",4438,0
"F...12",2026-04-24 16:07:00,"Pp+NI","RFP90",4451,0
"G...12",2026-04-24 16:07:00,"Pp","RFP90",4191,0
"H...12",2026-04-24 16:07:00,"M9","RFP90",4510,0
"A...13",2026-04-24 16:07:00,"Bs","RFP90",8769,0
"B...13",2026-04-24 16:07:00,"Bs+NI","RFP90",4796,0
"C...13",2026-04-24 16:07:00,"NI","RFP90",4576,0
"D...13",2026-04-24 16:07:00,"Bs+Pp+NI","RFP90",4590,0
"E...13",2026-04-24 16:07:00,"Bs+Pp","RFP90",4429,0
"F...13",2026-04-24 16:07:00,"Pp+NI","RFP90",4587,0
"G...13",2026-04-24 16:07:00,"Pp","RFP90",4861,0
"H...13",2026-04-24 16:07:00,"M9","RFP90",4412,0
"A...2",2026-04-26 15:57:00,"Bs","OD600",0.7565,47.8333333333333
"B...2",2026-04-26 15:57:00,"Bs+NI","OD600",1.4438,47.8333333333333
"C...2",2026-04-26 15:57:00,"NI","OD600",1.5541,47.8333333333333
"D...2",2026-04-26 15:57:00,"Bs+Pp+NI","OD600",1.636,47.8333333333333
"E...2",2026-04-26 15:57:00,"Bs+Pp","OD600",1.5458,47.8333333333333
"F...2",2026-04-26 15:57:00,"Pp+NI","OD600",1.7064,47.8333333333333
"G...2",2026-04-26 15:57:00,"Pp","OD600",1.5836,47.8333333333333
"H...2",2026-04-26 15:57:00,"M9","OD600",0.2771,47.8333333333333
"A...3",2026-04-26 15:57:00,"Bs","OD600",0.7657,47.8333333333333
"B...3",2026-04-26 15:57:00,"Bs+NI","OD600",1.4992,47.8333333333333
