"well","datetime","condition","wavelength","value","timepoint","time"
"A...6",2026-03-12 16:09:52,"Bs","GFP100",660,"t0",0
"B...6",2026-03-12 16:09:52,"Bs+Soil","GFP100",653,"t0",0
"C...6",2026-03-12 16:09:52,"Soil","GFP100",655,"t0",0
"D...6",2026-03-12 16:09:52,"Bs+Pp","GFP100",661,"t0",0
"E...6",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",691,"t0",0
"F...6",2026-03-12 16:09:52,"Pp","GFP100",674,"t0",0
"G...6",2026-03-12 16:09:52,"Pp+Soil","GFP100",689,"t0",0
"H...6",2026-03-12 16:09:52,"M9","GFP100",664,"t0",0
"A...7",2026-03-12 16:09:52,"Bs","GFP100",636,"t0",0
"B...7",2026-03-12 16:09:52,"Bs+Soil","GFP100",664,"t0",0
"C...7",2026-03-12 16:09:52,"Soil","GFP100",649,"t0",0
"D...7",2026-03-12 16:09:52,"Bs+Pp","GFP100",665,"t0",0
"E...7",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",693,"t0",0
"F...7",2026-03-12 16:09:52,"Pp","GFP100",680,"t0",0
"G...7",2026-03-12 16:09:52,"Pp+Soil","GFP100",699,"t0",0
"H...7",2026-03-12 16:09:52,"M9","GFP100",628,"t0",0
"A...8",2026-03-12 16:09:52,"Bs","GFP100",639,"t0",0
"B...8",2026-03-12 16:09:52,"Bs+Soil","GFP100",651,"t0",0
"C...8",2026-03-12 16:09:52,"Soil","GFP100",649,"t0",0
"D...8",2026-03-12 16:09:52,"Bs+Pp","GFP100",661,"t0",0
"E...8",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",699,"t0",0
"F...8",2026-03-12 16:09:52,"Pp","GFP100",679,"t0",0
"G...8",2026-03-12 16:09:52,"Pp+Soil","GFP100",695,"t0",0
"H...8",2026-03-12 16:09:52,"M9","GFP100",645,"t0",0
"A...9",2026-03-12 16:09:52,"Bs","GFP100",650,"t0",0
"B...9",2026-03-12 16:09:52,"Bs+Soil","GFP100",653,"t0",0
"C...9",2026-03-12 16:09:52,"Soil","GFP100",649,"t0",0
"D...9",2026-03-12 16:09:52,"Bs+Pp","GFP100",665,"t0",0
"E...9",2026-03-12 16:09:52,"Bs+Pp+Soil","GFP100",681,"t0",0
"F...9",2026-03-12 16:09:52,"Pp","GFP100",680,"t0",0
"G...9",2026-03-12 16:09:52,"Pp+Soil","GFP100",694,"t0",0
"H...9",2026-03-12 16:09:52,"M9","GFP100",655,"t0",0
"A...10",2026-03-12 16:09:52,"Bs","GFP100",632,"t0",0
"B...10",2026-03-12 16:09:52,"Bs+Soil","GFP100",649,"t0",0
"C...10",2026-03-12 16:09:52,"Soil","GFP100",649,"t0",0
